cellid,birthsAfter,birthsBefore,dIMR,dNL,imrAfter,imrBefore,lat,lon,nlAfter,nlBefore
171062,1519.0,2422.0,-33.75927734375,14,43.44963836669922,77.20891571044922,28.75,30.75,23,9
171782,2451.0,4373.0,-27.247055053710938,11,39.983680725097656,67.2307357788086,29.25,30.75,16,5
171783,1179.0,2107.0,-30.44820785522461,20,36.47158432006836,66.91979217529297,29.25,31.25,28,8
172502,101.0,136.0,-14.414674758911133,10,29.702970504760742,44.117645263671875,29.75,30.75,15,5
172503,972.0,1899.0,-21.648820877075195,21,24.69135856628418,46.340179443359375,29.75,31.25,33,12
173222,317.0,652.0,-20.427318572998047,6,37.854888916015625,58.28220748901367,30.25,30.75,8,2
173223,3642.0,7557.0,-10.097232818603516,18,31.850631713867188,41.9478645324707,30.25,31.25,53,35
173224,157.0,413.0,-11.736400604248047,19,31.84713363647461,43.583534240722656,30.25,31.75,32,13
173225,161.0,193.0,-17.635887145996094,4,18.633541107177734,36.26942825317383,30.25,32.25,6,2
173939,120.0,237.0,-63.50211143493652,2,16.66666603088379,80.16877746582031,30.75,29.25,3,1
173941,309.0,485.0,-9.76211929321289,12,35.59870529174805,45.36082458496094,30.75,30.25,15,3
173942,1044.0,2030.0,-19.321290969848633,21,21.072797775268555,40.39408874511719,30.75,30.75,31,10
173943,1833.0,3634.0,-19.696231842041016,32,18.003273010253906,37.69950485229492,30.75,31.25,58,26
173944,1271.0,2278.0,-27.301475524902344,29,19.669551849365234,46.97102737426758,30.75,31.75,50,21
173945,531.0,1141.0,-26.089712142944336,17,28.248586654663086,54.33829879760742,30.75,32.25,29,12
174654,151.0,364.0,-9.715450286865234,0,39.73509979248047,49.4505500793457,31.25,26.75,2,2
174655,130.0,344.0,-32.155635833740234,2,23.076923370361328,55.23255920410156,31.25,27.25,3,1
174660,878.0,2032.0,-8.773069381713867,10,29.612756729125977,38.385826110839844,31.25,29.75,18,8
174661,1028.0,1999.0,-22.093244552612305,21,20.428014755249023,42.52125930786133,31.25,30.25,34,13
174662,734.0,1688.0,-16.7087459564209,27,21.798364639282227,38.507110595703125,31.25,30.75,41,14
174663,747.0,1708.0,-20.90641975402832,25,10.709505081176758,31.615924835205078,31.25,31.25,41,16
174664,1061.0,1994.0,-17.621196746826172,26,24.505184173583984,42.126380920410156,31.25,31.75,42,16
174665,785.0,1540.0,-19.67904758453369,10,10.191082954406738,29.87013053894043,31.25,32.25,15,5
174668,208.0,412.0,6.861461639404297,2,43.269229888916016,36.40776824951172,31.25,33.75,3,1
174669,137.0,254.0,-18.047014236450195,3,29.197080612182617,47.24409484863281,31.25,34.25,5,2
178185,302.0,784.0,-9.224220275878906,8,26.490066528320312,35.71428680419922,33.75,-7.75,18,10
178186,115.0,290.0,-48.27586364746094,4,0.0,48.27586364746094,33.75,-7.25,5,1
178907,159.0,444.0,7.139213562011719,5,25.1572322845459,18.01801872253418,34.25,-6.75,9,4
178910,106.0,284.0,-28.03614044189453,4,28.30188751220703,56.33802795410156,34.25,-5.25,10,6
178911,154.0,460.0,-30.66064453125,2,51.94805145263672,82.60869598388672,34.25,-4.75,3,1
181069,178.0,474.0,-28.87213706970215,6,28.089887619018555,56.9620246887207,35.75,-5.75,9,3
86816,531.0,529.0,1.5984420776367188,1,77.21280670166016,75.61436462402344,-29.75,27.75,2,1
87536,1392.0,1481.0,12.089920043945312,2,77.5862045288086,65.49628448486328,-29.25,27.75,3,1
88258,205.0,216.0,12.48870849609375,2,63.414634704589844,50.925926208496094,-28.75,28.75,3,1
91143,589.0,702.0,55.46364974975586,3,96.7741928100586,41.310543060302734,-26.75,31.25,5,2
91144,427.0,497.0,6.827850341796875,2,91.33489227294922,84.50704193115234,-26.75,31.75,3,1
91863,996.0,1101.0,18.31850814819336,2,68.2730941772461,49.954586029052734,-26.25,31.25,3,1
91864,478.0,597.0,21.2884521484375,2,81.58995819091797,60.30150604248047,-26.25,31.75,3,1
91865,185.0,115.0,10.340774536132812,1,97.29729461669922,86.9565200805664,-26.25,32.25,2,1
92583,215.0,246.0,49.48005676269531,5,102.3255844116211,52.84552764892578,-25.75,31.25,10,5
96875,465.0,912.0,-12.655630111694336,2,30.107526779174805,42.76315689086914,-22.75,17.25,5,3
