image,cell_lat,cell_lon,cellid,lat,lon
100498_0.png,-20.25,28.75,100498,-20.176210846039684,28.69427811519285
101916_0.png,-19.25,17.75,101916,-19.32776811040456,17.883509479103953
101940_0.png,-19.25,29.75,101940,-19.11264140149905,29.82641652593955
101946_0.png,-19.25,32.75,101946,-19.174699323341965,32.99894847530624
101976_0.png,-19.25,47.75,101976,-19.20599966922012,47.85911887662576
103383_0.png,-18.25,31.25,103383,-18.416125229325324,31.005687198722864
104103_0.png,-17.75,31.25,104103,-17.668174543544048,31.222581931415366
106271_0.png,-16.25,35.25,106271,-16.1825979881307,35.21486628278061
106977_0.png,-15.75,28.25,106977,-15.893143404187162,28.14385409791433
106991_0.png,-15.75,35.25,106991,-15.531664245716785,35.34946769647746
109148_0.png,-14.25,33.75,109148,-14.384308125640617,33.80240577255977
110577_0.png,-13.25,28.25,110577,-13.408155489324743,28.226217822722827
110578_0.png,-13.25,28.75,110578,-13.393807836780223,28.559128881655425
111296_0.png,-12.75,27.75,111296,-12.736887759568802,27.86854833725491
111297_0.png,-12.75,28.25,111297,-12.763089789904528,28.24946029502485
112736_0.png,-11.75,27.75,112736,-11.500639926479922,27.80263984907924
119239_0.png,-7.25,39.25,119239,-7.269617807432203,39.417569197938306
119959_0.png,-6.75,39.25,119959,-6.930989721337952,39.12323686820039
123511_0.png,-4.25,15.25,123511,-4.200829653389766,15.02779145836842
123560_0.png,-4.25,39.75,123560,-4.177753149047437,39.61122345451403
124259_0.png,-3.75,29.25,124259,-3.7415185012785086,29.13225844496705
124979_0.png,-3.25,29.25,124979,-3.1830354444502964,29.021902823081174
126427_0.png,-2.25,33.25,126427,-2.2111246403710916,33.41817750444857
127100_0.png,-1.75,9.75,127100,-1.9647211191871643,9.77061789278578
127141_0.png,-1.75,30.25,127141,-1.7443660756704316,30.47524126354131
127859_0.png,-1.25,29.25,127859,-1.0384297199751749,29.137550351504746
127874_0.png,-1.25,36.75,127874,-1.3020041154814543,36.91439355179186
127875_0.png,-1.25,37.25,127875,-1.4332142626739526,37.02165023846202
128594_0.png,-0.75,36.75,128594,-0.9187507712489702,36.631614874665964
128595_0.png,-0.75,37.25,128595,-0.8868592822716428,37.081763998468844
129313_0.png,-0.25,36.25,129313,-0.1593279256957837,36.39154789491641
130746_0.png,0.75,32.75,130746,0.5824171926575435,32.5074727048123
