image,cell_lat,cell_lon,cellid,lat,lon
135740_0.png,4.25,9.75,135740,4.182877754379138,9.952320348442058
135744_0.png,4.25,11.75,135744,4.326316399890444,11.809098153843138
136453_0.png,4.75,6.25,136453,4.797616830000335,6.39177501878866
136454_0.png,4.75,6.75,136454,4.638066681576348,6.532567758358577
136455_0.png,4.75,7.25,136455,4.937385112193481,7.058194898731128
136456_0.png,4.75,7.75,136456,4.960410382456155,7.875798942886824
136457_0.png,4.75,8.25,136457,4.923219166187146,8.00223570554751
137152_0.png,5.25,-4.25,137152,5.430191195425261,-4.143459443251649
137157_0.png,5.25,-1.75,137157,5.25831553481195,-1.8567810623807826
137172_0.png,5.25,5.75,137172,5.231149550318582,5.957763600838587
137173_0.png,5.25,6.25,137173,5.452966218165922,6.235857695134949
137174_0.png,5.25,6.75,137174,5.398321949144414,6.787964227044331
137175_0.png,5.25,7.25,137175,5.366602482529176,7.099833188695192
137176_0.png,5.25,7.75,137176,5.3838061202092495,7.935429385714056
137177_0.png,5.25,8.25,137177,5.196846456978869,8.129586553289679
137879_0.png,5.75,-0.75,137879,5.544197290548605,-0.9492347341276758
137880_0.png,5.75,-0.25,137880,5.966057673089201,-0.360678985361552
137892_0.png,5.75,5.75,137892,5.597499370378803,5.897872945615584
137893_0.png,5.75,6.25,137893,5.717659624742322,6.05014234404458
137894_0.png,5.75,6.75,137894,5.785897362420873,6.842658801226911
137895_0.png,5.75,7.25,137895,5.766780495669233,7.045704943867735
137896_0.png,5.75,7.75,137896,5.905080747456641,7.816086413831958
138597_0.png,6.25,-1.75,138597,6.035075779236206,-1.59461573033141
138599_0.png,6.25,-0.75,138599,6.146938494714546,-0.5385783796114985
138600_0.png,6.25,-0.25,138600,6.253808737261095,-0.185178542725767
138602_0.png,6.25,0.75,138602,6.070859899155345,0.6338399069122296
138611_0.png,6.25,5.25,138611,6.41416499116891,5.369654376429196
138612_0.png,6.25,5.75,138612,6.2871990391346015,5.955214811028847
138613_0.png,6.25,6.25,138613,6.228749856475776,6.098018749944059
138614_0.png,6.25,6.75,138614,6.457375100887698,6.93418715838775
138615_0.png,6.25,7.25,138615,6.134373985762052,7.278584337005719
139317_0.png,6.75,-1.75,139317,6.981512616643936,-1.6333579000454905
139326_0.png,6.75,2.75,139326,6.584878842679397,2.8915006752204717
139327_0.png,6.75,3.25,139327,6.772833360431603,3.4326451361150996
139328_0.png,6.75,3.75,139328,6.956097267178599,3.5121672409126656
139329_0.png,6.75,4.25,139329,6.679576297753588,4.15773658119362
139332_0.png,6.75,5.75,139332,6.721533585002384,5.665539993640519
139333_0.png,6.75,6.25,139333,6.726900641197257,6.1956266135651505
139336_0.png,6.75,7.75,139336,6.864510164074544,7.7503954435283555
140030_0.png,7.25,-5.25,140030,7.03571937275757,-5.489978069436995
140047_0.png,7.25,3.25,140047,7.4086329317072135,3.408971250861071
140048_0.png,7.25,3.75,140048,7.440571722672466,3.580912946072899
140049_0.png,7.25,4.25,140049,7.066786728361905,4.441328891991519
140051_0.png,7.25,5.25,140051,7.476296088929063,5.054576000126677
140750_0.png,7.75,-5.25,140750,7.560340786249966,-5.262943687405755
140769_0.png,7.75,4.25,140769,7.937503813403893,4.110915031678541
140770_0.png,7.75,4.75,140770,7.62831913654678,4.839624552651336
140771_0.png,7.75,5.25,140771,7.727892224278973,5.163133497688901
140773_0.png,7.75,6.25,140773,7.977555695328473,6.499621219894922
140774_0.png,7.75,6.75,140774,7.742366904104551,6.515306162514619
141489_0.png,8.25,4.25,141489,8.12859375453985,4.354532288327518
141490_0.png,8.25,4.75,141490,8.240984716024023,4.616588161604383
142210_0.png,8.75,4.75,142210,8.64950363815938,4.940560060560102
142935_0.png,9.25,7.25,142935,9.207046320167164,7.404542044666499
142936_0.png,9.25,7.75,142936,9.097903472584116,7.984648500889051
142946_0.png,9.25,12.75,142946,9.177944705801677,12.519465610647805
142998_0.png,9.25,38.75,142998,9.231480171732532,38.9339175461317
143613_0.png,9.75,-13.75,143613,9.757255605437274,-13.50077190940992
143654_0.png,9.75,6.75,143654,9.571210569479915,6.693645541363485
143666_0.png,9.75,12.75,143666,9.972176388158077,12.916521244448692
143668_0.png,9.75,13.75,143668,9.587284999009626,13.8193795053796
144379_0.png,10.25,9.25,144379,10.014257207355802,9.299988731266252
145096_0.png,10.75,7.75,145096,10.600555445162353,7.599405925782243
145816_0.png,11.25,7.75,145816,11.411188108088547,7.8606222463063675
147254_0.png,12.25,6.75,147254,12.249223227355705,6.967373729191259
147258_0.png,12.25,8.75,147258,12.35793647162705,8.539011315992468
147271_0.png,12.25,15.25,147271,12.344462535942867,15.324666849264077
147944_0.png,12.75,-8.25,147944,12.71829192364836,-8.056725214854298
